#"Camera Name","NVR","Location","IP Address","Recording","Has Video","Total Video","Missing Video"
"Мез4-2-10L_IMP519-1-T32107219","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.84","Yes","Yes","None","No"
"Мез4-2-10R_IMP519-1-T32107196","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.178","Yes","Yes","None","No"
"Мез4-2-11L_IMP519-1-T32107054","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.7","Yes","Yes","None","No"
"Мез4-2-11R_IMP519-1-T32107215","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.137","Yes","Yes","None","No"
"Мез4-2-12L_IMP519-1-T32107212","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.15","Yes","Yes","None","No"
"Мез4-2-12R_IMP519-1-T32107092","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.136","Yes","Yes","None","No"
"Мез4-2-13L_IMP519-1-T32107164","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.3","Yes","Yes","None","No"
"Мез4-2-13R_IMP519-1-T32107113","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.135","Yes","Yes","None","No"
"Мез4-2-14L_IMP519-1-T32107022","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.5","Yes","Yes","None","No"
"Мез4-2-14R_IMP519-1-T32107141","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.0","Yes","Yes","None","No"
"Мез4-2-15L_IMP519-1-T32107044","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.138","Yes","Yes","42 days, 14:52","No"
"Мез4-2-15R_IMP519-1-T32107077","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.133","Yes","Yes","None","No"
"Мез4-2-16L_IMP519-1-T32107090","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.62.246","Yes","Yes","42 days, 14:55","No"
"Мез4-2-16R_IMP519-1-T32107050","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.132","Yes","Yes","None","No"
"Мез4-2-17L_IMP519-1-T32107048","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.204","Yes","Yes","None","No"
"Мез4-2-17R_IMP519-1-T32107214","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.131","Yes","Yes","None","No"
"Мез4-2-18L_IMP519-1-T32107149","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.134","Yes","Yes","None","No"
"Мез4-2-18R_IMP519-1-T32107167","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.130","Yes","Yes","None","No"
"Мез4-2-19L_IMP519-1-T32107076","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.8","Yes","Yes","None","No"
"Мез4-2-19R_IMP519-1-T32107049","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.129","Yes","Yes","None","No"
"Мез4-2-20L_IMP519-1-T32107119","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.161","Yes","Yes","None","No"
"Мез4-2-20R_IMP519-1-T32107075","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.128","Yes","Yes","None","No"
"Мез4-2-21L_IMP519-1-T32107166","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.139","Yes","Yes","None","No"
"Мез4-2-21R_IMP519-1-T32107198","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.127","Yes","Yes","None","No"
"Мез4-2-22L_IMP519-1-T32107195","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.111","Yes","Yes","None","No"
"Мез4-2-22R_IM10LW10-1-ADGK517","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.235","Yes","Yes","None","No"
"Мез4-2-23L_IMP519-1-T32301156","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.142","Yes","Yes","None","No"
"Мез4-2-23R_IMP519-1-T32107010","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.1","Yes","Yes","None","No"
"Мез4-2-24L_IMP519-1-T32107046","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.18","Yes","Yes","None","No"
"Мез4-2-24R_IMP519-1-T32107111","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.124","Yes","Yes","None","No"
"Мез4-2-25L_IMP519-1-T32107042","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.143","Yes","Yes","None","No"
"Мез4-2-25R_IMP519-1-T32107097","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.123","Yes","Yes","None","No"
"Мез4-2-26L_IMP519-1-T32107072","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.146","Yes","Yes","None","No"
"Мез4-2-26R_IMP519-1-T32107013","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.122","Yes","Yes","None","No"
"Мез4-2-27L_IME229-M0641719041920169","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.165","Yes","Yes","19 days, 23:08","No"
"Мез4-2-27L_IMP519-1-T32107056","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.165","No","No","None","No"
"Мез4-2-27R_IME3122-ADGA607","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.233","Yes","Yes","None","No"
"Мез4-2-28L_IMP519-1-T32100349","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.177","Yes","Yes","None","No"
"Мез4-2-28R_IME3122-ADHCE95","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.232","Yes","Yes","None","No"
"Мез4-2-29L_IM10LW10-1-ADGK533","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.234","Yes","Yes","None","No"
"Мез4-2-29R_IMP519-1-T32107147","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.119","Yes","Yes","None","No"
"Мез4-2-30L_IMP519-1-T32107101","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.175","Yes","Yes","None","No"
"Мез4-2-30R_IMP519-1-T32107059","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.118","Yes","Yes","00:00:00.200","No"
"Мез4-2-31L_IMP519-1-T32107045","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.144","Yes","Yes","None","No"
"Мез4-2-31R_IME3122-ADHCEA4","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.60.231","Yes","Yes","None","No"
"Мез4-2-Ц1_IMP519-1-T32107146","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.10","Yes","Yes","None","No"
"Мез4-2-Ц2_IMP519-1-T32107116","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.148","Yes","Yes","None","No"
"Мез4-2-Ц3_IMP519-1-T32107024","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.125","Yes","Yes","None","No"
"Мез4-2-Ц4_IMP519-1-T32107095","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Мезонин 4/Мелкоштучка OCS/Уровень 2","172.16.63.152","Yes","Yes","None","No"
"Пандус 3-12_IM10LW10-1E-ADBKHE6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.60.239","Yes","Yes","18 days, 11:55","No"
"Пандус 3-13_IM10LW10-1E-ADBKH62","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.60.236","Yes","Yes","19 days, 23:07","No"
"Пандус 3-14_IM10LW10-1E-ADBKHC0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.60.237","Yes","Yes","19 days, 23:06","No"
"Пандус 3-15_IM10LW10-1E-ADBKH64","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.61.58","Yes","Yes","19 days, 23:08","No"
"Пандус 3-16_IM10DN10-1E-ADCWJJ3","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.61.1","Yes","Yes","19 days, 23:06","No"
"Пандус 3-16_IM10LW10-1E-ADBKHF8","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.60.144","No","No","None","No"
"Пандус 3-17_IM10LW10-1E-ADBKHM0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.61.57","Yes","Yes","19 days, 23:08","No"
"Пандус 3-от 17 к центру_IM10LW10-1E-ADBKHE4","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 3","172.16.61.149","Yes","Yes","19 days, 23:06","No"
"Пандус 4-01_IM10LW10-1E-ADBKH55","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.142","Yes","Yes","None","No"
"Пандус 4-02_IM10LW10-1E-ADBKH83","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.61.102","Yes","Yes","None","No"
"Пандус 4-03_IM10LW10-1E-ADBKHL7","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.135","Yes","Yes","None","No"
"Пандус 4-04_IM10LW10-1E-ADBVXC4","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.140","Yes","Yes","None","No"
"Пандус 4-05_IM10LW10-1E-ADBKHK5","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.245","Yes","Yes","None","No"
"Пандус 4-06_IM10LW10-1E-ADBKH73","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.246","Yes","Yes","None","No"
"Пандус 4-07_IM10DN10-1E-ADCVXX3","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.62.184","Yes","Yes","None","No"
"Пандус 4-08_IM10DN10-1E-ADCWJJ4","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.63.227","Yes","Yes","19 days, 23:07","No"
"Пандус 4-08_IM10LW10-1E-ADBKHG9","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.250","Yes","Yes","None","No"
"Пандус 4-09_IM10LW10-1E-ADBKHH1","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.251","Yes","Yes","None","No"
"Пандус 4-10_IM10LW10-1E-ADBKHE5","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.252","Yes","Yes","None","No"
"Пандус 4-11_IM10LW10-1E-ADBKHC5","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.253","Yes","Yes","None","No"
"Пандус 4-на АБК_IM10LW10-1E-ADBKHB9","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.143","Yes","Yes","None","No"
"Пандус 4-от 1 к центру_IM10LW10-1E-ADBKHM2","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.141","No","Yes","None","No"
"Пандус 4-от центра к 17_IM10LW10-1E-ADBKHN6","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Пандус 4","172.16.60.249","Yes","Yes","None","No"
"Скл1 лесница на мез АБК1_IM10LW10-1-ADGK458","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.32","Yes","Yes","43 days, 23:46","00:05:09.494"
"Скл1 лестница на мез у бл2_IM10LW10-1-ADGCCJ0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.70","Yes","Yes","48 days, 15:47","00:01:17.638"
"Скл1 подмез (центр) к АБК1_IME3122-ADGA632","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.73","Yes","Yes","48 days, 15:49","00:00:26.866"
"Скл1 подмез (центр) к АБК2_IME3122-ADHCE49","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.72","Yes","Yes","48 days, 15:49","00:00:28.796"
"Скл1 подмез от АБК1_IME3122-ADGXX06","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.112","Yes","Yes","43 days, 23:41","No"
"Скл1 подмез от АБК2_IME3122-ADHCE99","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.71","Yes","Yes","48 days, 15:47","00:01:19.795"
"Скл1 проезд к бл2_IME3122-ADHCE98","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.59","Yes","Yes","48 days, 15:47","00:01:18.594"
"Скл1 проезд от бл2_IM10DN10-1E-ADCVXY4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.35","Yes","Yes","43 days, 23:39","00:01:32.597"
"Скл1 проезд центр к бл2_IM10LW10-1-ADGK620","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.113","No","No","None","No"
"Скл1 проезд центр от бл2_IM10LW10-1-ADGK628","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.114","No","No","None","No"
"Скл1 тыл к бл2_IM10LW10-1-ADGK457","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.31","Yes","Yes","48 days, 15:49","00:00:29.323"
"Скл1 тыл от бл2_IM10LW10-1-ADGK467","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.29","No","No","None","No"
"Скл1 тыл центр на бл2_IM10LW10-1-ADGK547","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.30","Yes","Yes","43 days, 23:40","00:00:37.145"
"Скл1 тыл центр от бл2_IM10LW10-1-ADGK549","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.195","Yes","Yes","48 days, 15:47","00:00:28.651"
"Скл1_02-3_IM10LW10-1-ADBKHP0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.61.60","No","No","None","No"
"Скл1_03-4_IM10LW10-1-ADGCBU4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.27","No","No","None","No"
"Скл1_06-3_IM10LW10-1-ADBKHT7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.226","No","No","None","No"
"Скл1_07-2_IM10LW10-1-ADBXFH8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.38","No","No","None","No"
"Скл1_08-3_IM10LW10-1-ADBV701","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.224","No","No","None","No"
"Скл1_08-4_IM10LW10-1-ADGCCG2","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.36","No","No","None","No"
"Скл1_09-3_IM10LW10-1-ADBKHP8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.115","No","No","None","No"
"Скл1_13-1_IM10LW10-1-ADGCC99","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.43","No","No","None","No"
"Скл1_13-3_IM10LW10-1-ADBKHQ5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.210","No","No","None","No"
"Скл1_14-1_IM10LW10-1-ADGK601","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.47","No","No","None","No"
"Скл1_15-2_IMP121-1IS-T71202931","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.85","No","No","None","No"
"Скл1_17-2_IM10LW10-1-ADBKHR1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.203","No","No","None","No"
"Скл1_19-2_IM10LW10-1-ADBV762","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.42","No","No","None","No"
"Скл1_19-3_IMP121-1IS-T71202934","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.69","No","No","None","No"
"Скл1_21-1_IM10LW10-1-ADBV736","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.216","Yes","Yes","43 days, 23:41","No"
"Скл1_23-3_IM10LW10-1-ADBKHQ9","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.209","Yes","Yes","43 days, 23:38","No"
"Скл1_р01_IME3122-ADHCE67","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.61.54","Yes","Yes","48 days, 15:49","00:01:17.796"
"Скл1_р02-03_IME3122-ADGA598","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.62","Yes","Yes","43 days, 23:44","00:05:38.115"
"Скл1_р04-05_IMP121-1IS-T71202930","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.56","Yes","Yes","None","No"
"Скл1_р06_07_IME3122-ADHCE75","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.118","Yes","Yes","48 days, 15:50","00:00:27.800"
"Скл1_р08-09_IME3122-ADGA633","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.66","Yes","Yes","48 days, 15:49","00:00:26.866"
"Скл1_р10-11_IME3122-ADGA614","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.64","Yes","Yes","43 days, 23:46","00:05:31.315"
"Скл1_р12-13_IME3122-ADHCE68","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.197","Yes","Yes","48 days, 15:48","00:01:19.929"
"Скл1_р14-15_IME3122-ADGXX40","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.60.110","Yes","Yes","48 days, 15:50","00:00:27.267"
"Скл1_р16-17_IME3122-ADEXQF8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.51","Yes","Yes","48 days, 15:49","00:00:27.864"
"Скл1_р18-19_IME3122-ADGXWZ0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.52","Yes","Yes","43 days, 23:45","00:05:25.579"
"Скл1_р20-21_IME3122-ADHCE96","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.62.136","Yes","Yes","48 days, 15:49","00:00:26.532"
"Скл1_р22-23_IME3122-ADGXX46","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.50","Yes","Yes","48 days, 15:49","00:00:27.399"
"Скл1_р24-25_IME3122-ADGA619","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.60","Yes","Yes","43 days, 23:43","No"
"Скл1_р26-27_IME3122-ADHCE77","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.53","Yes","Yes","43 days, 23:43","No"
"Скл1_р28-29_IME3122-ADHCE16","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.65","Yes","Yes","48 days, 15:48","00:00:26.598"
"Скл1_р30-31_IME3122-ADGXX45","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.63","Yes","Yes","43 days, 23:41","No"
"Скл1_р32-33_IME3122-ADGA643","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.57","Yes","Yes","48 days, 15:50","00:01:15.330"
"Скл1_р34-35_IME3122-ADHCE30","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.55","Yes","Yes","43 days, 23:42","No"
"Скл1_р36-37_IME3122-ADGA635","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.68","Yes","Yes","43 days, 23:43","00:06:34.975"
"Скл1_р38-39_IME3122-ADHCE50","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.61","Yes","Yes","48 days, 15:49","00:00:50.996"
"Скл1_р40-41_ IME3122-ADGA624","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.61.95","No","No","None","No"
"Скл1_р42_стена_IME3122-ADHCE64","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 1","172.16.63.196","No","No","None","No"
"Скл2 (тыл) АЗС2-пож.ворота _IM10LW10-1-ADGK492","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.100","Yes","Yes","43 days, 23:43","00:05:00.60"
"Скл2 (тыл) к бл1_IM10LW10-1-ADGK442","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.96","Yes","Yes","43 days, 23:38","00:00:54.813"
"Скл2 (тыл) к пристр_IM10LW10-1-ADGK633","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.97","Yes","Yes","48 days, 15:48","00:01:21.636"
"Скл2 (тыл) от бл1 к центру_IM10LW10-1-ADGK604","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.98","Yes","Yes","43 days, 23:47","00:04:34.235"
"Скл2 (тыл) пристр_IM10LW10-1-ADGK648","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.99","Yes","Yes","48 days, 15:50","00:00:28.818"
"Скл2 аккумуляторная лево_IM10LW10-1-ADGK468","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.208","Yes","Yes","19 days, 23:07","No"
"Скл2 аккумуляторная право_IM10LW10-1-ADGK478","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.209","No","Yes","None","No"
"Скл2 лестница у бл1_IM10LW10-1-ADGK428","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.174","Yes","Yes","43 days, 23:43","No"
"Скл2 подмез от бл1_IME3122-ADGA601","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.173","Yes","Yes","48 days, 15:48","00:00:26.866"
"Скл2 подмез от бл3_IME3122-ADHCEA1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.170","Yes","Yes","48 days, 15:49","00:00:28.468"
"Скл2 подмез центр к бл1_IME3122-ADHCE36","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.171","Yes","Yes","43 days, 23:48","00:02:41.990"
"Скл2 подмез центр к бл3_IME3122-ADGXWX4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.172","Yes","Yes","48 days, 15:49","00:00:26.800"
