# Кодер, Камера, Сетевой адрес, Местонахождение, Номер, Аудио,Настройки PTZ Активирован,Настройки PTZ Порт,Настройки PTZ Протокол,Настройки PTZ Адрес PTZ
Забор 8 угол охрана на стоянку ,Забор 8 угол охрана на стоянку (50.160),172.16.50.160,Забор,25,,False,COM1,,1
Забор 9 угол охрана вдоль забор,Забор 9 угол охрана вдоль забора (51.35),172.16.51.35,Забор,24,,False,COM1,,1
Зона_Отгрузки_Ворот_22 (50.253),Зона_отгрузки_Ворот_22(50.253),172.16.50.253,Ворота,40,,False,COM1,,1
Мез3_ворота4 (51.9),Мез3_ворота4 (51.9) (60509),172.16.51.9,Мезонин,92,,False,COM1,,1
Мез3_ворота3 (51.11),Мез3_вотора3 (51.11) (60510),172.16.51.11,Мезонин,89,,False,COM1,,1
Мез3_вх.лестн-4 (51.10),Мез3_вх.лестн-4 (51.10) (60508),172.16.51.10,Мезонин,88,,False,COM1,,1
Мез4_ворота3 (51.14),Мез4_ворота3 (51.14) (60514),172.16.51.14,Мезонин,91,,False,COM1,,1
Мез4_ворота4 ((50.180),Мез4_ворота4 ((50.180) (60513),172.16.50.180,Мезонин,93,,False,COM1,,1
Подмез_12_Зона_отгрузки(50.245),Подмез_12_Зона_отгрузки (50.245) (11122),172.16.50.245,Подмезонин,16,,False,COM1,,1
Подмез_13 (50.246),Подмез_13 (50.246) (11123),172.16.50.246,Подмезонин,17,,False,COM1,,1
Подмез_14 (50.247),Подмез_14 (50.247) (11124),172.16.50.247,Подмезонин,18,,False,COM1,,1
Подмез_15 (51.18),Подмез_15 (51.18) (11125),172.16.51.18,Подмезонин,19,,False,COM1,,1
Подмез_16 (50.183),Подмез_16 (50.183) (11126),172.16.50.183,Подмезонин,20,,False,COM1,,1
Проезд к АБК3_3 (50.113),Проезд к АБК3_3 (50.113) (11026),172.16.50.113,Проезды,9,,False,COM1,,1
Проезд_тыл_2 (50.190),Проезд_тыл_2 (50.190) (40213),172.16.50.190,Проезды,86,,False,COM1,,1
Проход_тыл_2 (50.189),Проход_тыл_2 (50.189) (40214),172.16.50.189,Проезды,87,,False,COM1,,1
Ряд_101-102 (50.117),Ряд_101-102 (50.117) (11030),172.16.50.117,Ряды,5,,False,COM1,,1
Ряд_101-102_тыл (50.121),Ряд_101-102_тыл (50.121) (40210),172.16.50.121,Ряды,3,,False,COM1,,1
Ряд_103-104 (50.116),Ряд_103-104 (50.116) (11029),172.16.50.116,Ряды,6,,False,COM1,,1
Ряд_103-104_тыл (50.122),Ряд_103-104_тыл (50.122) (40209),172.16.50.122,Ряды,2,,False,COM1,,1
Ряд_105-106 (50.112),Ряд_105-106 (50.112) (11028),172.16.50.112,Ряды,10,,False,COM1,,1
Ряд_105-106_тыл (50.123),Ряд_105-106_тыл (50.123) (40208),172.16.50.123,Ряды,1,,False,COM1,,1
Ряд_107-108 (50.114),Ряд_107-108 (50.114) (11027),172.16.50.114,Ряды,8,,False,COM1,,1
Ряд_109-110 (50.115),Ряд_109-110 (50.115) (11025),172.16.50.115,Ряды,7,,False,COM1,,1
Ряд_111-112 (50.110),Ряд_111-112 (50.110) (11024),172.16.50.110,Ряды,12,,False,COM1,,1
Сборка_от ряда 101 (50.105),Сборка_от ряда 101 (50.105) (11031),172.16.50.105,Проезды,15,,False,COM1,,1
АБК4_выход_зарядной (50.249),АБК4_выход_зарядной (50.249) (11128),172.16.50.249,АБК,1,,False,COM1,,1
Мелкошт_ворота(50.207),Мелкошт_ворота (50.207),172.16.50.207,Мелкоштучка,2,,False,COM1,,1
Мелкошт_вход (50.206),Мелкошт_вход(50.206),172.16.50.206,Мелкоштучка,28,,False,COM1,,1
Мелкошт_ур1-1 (50.194),Мелкошт_ур1-1(50.194),172.16.50.194,Мелкоштучка,29,,False,COM1,,1
Мелкошт_ур1-3 (50.191),Мелкошт_ур1-2 (50.191),172.16.50.191,Мелкоштучка,7,,False,COM1,,1
Мелкошт_ур1-2 (50.208),Мелкошт_ур1-2(50.208),172.16.50.208,Мелкоштучка,23,,False,COM1,,1
Мелкошт_ур1-4 (50.168),Мелкошт_ур1-4 (50.168),172.16.50.168,Мелкоштучка,26,,False,COM1,,1
Мелкошт_ур1-5 (50.192),Мелкошт_ур1-5 (50.192),172.16.50.192,Мелкоштучка,8,,False,COM1,,1
Мелкошт_ур2-1 (50.195),Мелкошт_ур2-1 (50.195),172.16.50.195,Мелкоштучка,10,,False,COM1,,1
Мелкошт_ур2-2 (50.199),Мелкошт_ур2-2 (50.199),172.16.50.199,Мелкоштучка,13,,False,COM1,,1
Мелкошт_ур2-3 (50.193,Мелкошт_ур2-3 (50.193),172.16.50.193,Мелкоштучка,9,,False,COM1,,1
Мелкошт_ур2-4 (50.211),Мелкошт_ур2-4 (50.211),172.16.50.211,Мелкоштучка,25,,False,COM1,,1
Мелкошт_ур2-5 (50.197),Мелкошт_ур2-5 (50.197),172.16.50.197,Мелкоштучка,11,,False,COM1,,1
Мелкошт_ур3-1 (50.201),Мелкошт_ур3-1 (50.201),172.16.50.201,Мелкоштучка,15,,False,COM1,,1
Мелкошт_ур3-2 (51.107),Мелкошт_ур3-2 (51.107),172.16.51.107,Мелкоштучка,27,,False,COM1,,1
Мелкошт_ур3-3 (50.200),Мелкошт_ур3-3 (50.200),172.16.50.200,Мелкоштучка,14,,False,COM1,,1
Мелкошт_ур3-4 (50.198),Мелкошт_ур3-4 (50.198),172.16.50.198,Мелкоштучка,12,,False,COM1,,1
Мелкошт_ур3-5 (50.196),Мелкошт_ур3-5 (50.196),172.16.50.196,Мелкоштучка,30,,False,COM1,,1
Мелкошт_ур4-1 (50.204),Мелкошт_ур4-1 (50.204),172.16.50.204,Мелкоштучка,21,,False,COM1,,1
Мелкошт_ур4-2 (50.210),Мелкошт_ур4-2 (50.210),172.16.50.210,Мелкоштучка,24,,False,COM1,,1
Мелкошт_ур4-3 (50.205),Мелкошт_ур4-3 (50.205),172.16.50.205,Мелкоштучка,22,,False,COM1,,1
Мелкошт_ур4-4 (50.202),Мелкошт_ур4-4 (50.202),172.16.50.202,Мелкоштучка,16,,False,COM1,,1
Мелкошт_ур4-5 (50.203),Мелкошт_ур4-5 (50.203),172.16.50.203,Мелкоштучка,20,,False,COM1,,1
Фасад_ф_7_на Гр.стоянку (50.147,Фасад_ф_7_на Гр.стоянку (50.147) (60501),172.16.50.147,Фасад,17,,False,COM1,,1
